output_text,input_text,understandability,type_of_claim,type_of_medical_claim,support,harm,summary
Functional lab testing can help target supplementation for children with ADHD.,"w or we have  a lot of you know sort of  overactive symptoms and we  really need to calm them down.  Um and I love it for a few  reasons. One it contains both  GABA and lithium Two it comes  in an easy to use liquid which  is perfect for our kiddos who  can't swallow pills. And three  is I also love it because since  it's taken by mouth and held in  the mouth for 30 seconds before  swallowing it has rapid  absorption into the body  providing that calm, that focus  and that concentration really  quickly. Now those of you who  have heard me ah before know  that what I'm getting ready to  say and I said it the other  night in my live masterclass  but for any of you new here I  want to add that you should  always start with food because  you can't supplement your way  out of a poor diet. Uh food is  always our first medicine. Uh  we go there first to try and  improve the state of the gut.  Um and the brain, the gut brain  connection and then once the  dietary changes are made that's  when I might discuss  supplementation. Or I might do  a consultation with each other.  So like at the same time you  know coming thrive can be  really good to help while we're  making those changes. So I'm  going to pop also for anyone  that's new here a link to my  free masterclass where I go  into more detail about those  dietary changes I recommend. So  be sure to check that out if  you're just getting started.  Now back to supplementation. Uh  supplementation should  definitely be tailored to each  individual in order to address  specific healing opportunities  to provide support to each  individual body. Now some  children are helped by  supplements that are targeting  certain you know minerals and  vitamins but other children  actually see no effects  whatsoever. And sometimes even  see negative effects. Many of  the families I work with want a  more targeted approach to  healing their kids' underlying  stresses in their body. They  don't want to just sort of add  random supplements that their  children may or may not need.  What I do say is it ends up in  a lot of expensive poop.  Because if they don't need them  it just goes out the other end  and just comes out in poop. Um  so I do talk a lot about poop.  Uh especially in my closed  group because you know we are  focusing a lot on the gut and  what comes out. Um so my  families you know start by  doing functional lab testing  and then when they get the  results back and see what  specific stresses their child's  body is having. We can target  supplementation to fit them  specifically. Now I don't  want to go into a ton of  details on that right now. But  again I'm going to pop a link  to the lab testing video in the  comment section. So check that  out if you're interested in  learning more. So I've said a  lot today but in summary GABA  and lithiumine especially when  combined in this formula can be  a great support to our kids  with ADHD. But this can never  be the be all and end all  solution. Food is critical.  It's a definite critical piece  of the puzzle and so are other  natural supports which I did  share in my live masterclass.  Uh this Tuesday which I hope to  do another one and I'm so  disappointed that wasn't  recorded. Um but I hope this  answers that question. But I  also understand that there was  a ton of information out there  or there is a ton of  information out there on how to  help a child with ADHD. And I  want to offer anyone listening  you know always a clearer you  know picture of what's going on  in their child. So we  definitely open up our  calendar. Me and my team so  that we can talk with you guys  about what we can do to get  some ideas on how to help  reduce child's ADHD symptoms  naturally because every child  is different. And these calls  are 100% free with no strings  attached. So guys that is it  for today. Um if you've got any  questions whatsoever about  Gaba, lithiumine, let me know  in the comments. Um I'm also  going to drop those links to  the masterclass and I'll drop  the link to our calendar. Um  and ah if you've got any other  questions I'd be happy to help.  So ah something pops up. Drop  them in the comments below. I'm  always happy to help but I hope  you all have a wonderful  weekend. Take care.  ",vague,hedged claim,treatment/cure,can't tell,harmless,not worth checking
The presenter's patients are also fond of this product.,This is also well-loved by my patients.,vague,personal,not medical,can't tell,can't tell,not worth checking
The speaker claims that they will make a difference.,I'm going to make a difference.,vague,personal,not medical,can't tell,can't tell,not worth checking
"Although urinalysis has been used for a long time, there is still much to learn about it.","Urinalysis has been around for a long time, but that does not mean that we know everything we need to know about it.",vague,statement of fact,treatment/cure,uncontroversial statement,harmless,not worth checking
"FBT primarily involves family therapy sessions, with occasional individual sessions for the therapist and the individual. However, the emphasis remains on working together as a family.",so FBT every session is family therapy there are brief sessions with the therapist for the individual alone but the emphasis is on doing this together as a family,vague,statement of fact,treatment/cure,uncontroversial statement,harmless,not worth checking
Menstruation can be uncomfortable and embarrassing to talk about for some people.,Menstruation is uncomfortable and embarrassing to talk about at times.,understandable,personal,cause/effect,uncontroversial statement,harmless,not worth checking
"The speaker has traveled extensively, including a tour of Europe, studying abroad in Australia, and visiting Israel and Indonesia.","I did a tour through Europe, studied abroad in Australia, then to Israel, Indonesia, so well-traveled.",vague,personal,not medical,can't tell,can't tell,not worth checking
The speaker claims that her concerns about the lack of risk assessments were ignored and she received threatening phone calls.,I asked for risk assessments. But my concerns weren't being heard I received phone calls with threats.,vague,personal,not medical,can't tell,can't tell,not worth checking
Staying hydrated is important.,Drink water.,vague,statement of fact,prevention,uncontroversial statement,harmless,not worth checking
"Opioid addiction can cause long-term brain changes, potentially leading to relapses even after detoxification and prolonged abstinence.",addiction to opioids may produce long term alterations to the brain and these long-term changes may be responsible for relapses or returning to using the drug after having detox and been separated from the drug for a substantial amount of time,understandable,hedged claim,outcome,uncontroversial statement,harmless,not worth checking
There is a positive force at work in the universe.,The light is doing its work.,vague,opinion,not medical,can't tell,can't tell,not worth checking
"The rapid development of the Zika vaccines is a positive development, not only because of the speed but also because of the ability to leverage research and development from the Ebola vaccine experience.",I would say it's positive not only in the interval but also kind of what we were able to leverage even more quickly and respond from research and development and testing perspective visa vie Zika.,understandable,opinion,prevention,uncontroversial statement,harmless,not worth checking
The Ebola outbreak showed that we need to be better prepared for future pandemics.,The Ebola outbreak highlighted the need for better preparedness for future pandemics.,understandable,opinion,prevention,uncontroversial statement,harmless,not worth checking
The claim that Mary Magdalene procrastinated until the last moment before writing her gospel is not supported by the New Testament.,Mary Magdalene procrastinated until the last moment before writing her gospel.,understandable,opinion,not medical,novel claim,harmless,not worth checking
Individuals from lower socioeconomic backgrounds may face challenges in accessing healthy food and making necessary dietary modifications. It's important to discuss alternative weight management strategies with patients for whom bariatric surgery may not be suitable.,"or lower socioeconomic class level don't have access to healthier foods and make modifications, you know, - How do you talk to patients maybe bariatric surgery isn't for you.",understandable,hedged claim,prevention,uncontroversial statement,harmless,not worth checking
Individual and group therapy can be effective treatments for binge eating disorder.,Individual and group therapies can help.,understandable,hedged claim,treatment/cure,uncontroversial statement,harmless,not worth checking
Menopausal hormone therapy (MHT) can help to relieve the symptoms of menopause.,Menopausal hormone therapy (MHT) can be an effective treatment for menopausal symptoms.,understandable,hedged claim,treatment/cure,uncontroversial statement,harmless,not worth checking
Bioidentical hormones can be used as hormone replacement therapy for declining hormone levels during perimenopause and menopause.,Bioidentical hormones can be used to replace hormones that decline in perimenopause and menopause.,understandable,hedged claim,treatment/cure,uncontroversial statement,harmless,not worth checking
Hot water can dry out skin and worsen skin conditions.,avoid using very hot water because it's going to dry out your skin and make things worse,understandable,hedged claim,prevention,uncontroversial statement,harmless,not worth checking
"Even simple physical activities like walking, biking, and swimming can have a positive impact on blood pressure.","Even simple physical activities like walking, biking, and swimming can have an impact on blood pressure.",understandable,hedged claim,cause/effect,uncontroversial statement,harmless,not worth checking
"People of all weights can have eating disorders, which can cause serious health problems like osteoporosis, anemia, heart damage, and kidney damage.",people who weigh what medical professionals might consider a healthy range can have Eating Disorders including severe ones that damage their long-term Health in invisible ways including osteoporosis anemia heart damage and kidney damage,understandable,hedged claim,symptom,uncontroversial statement,harmless,not worth checking
HRT can prevent serious health issues.,Hormone replacement therapy (HRT) can spare you from serious problems.,understandable,hedged claim,cause/effect,uncontroversial statement,harmless,not worth checking
Stress can have negative effects on the body and make weight loss more difficult.,Stress can negatively impact the body and hinder weight loss efforts.,understandable,hedged claim,cause/effect,uncontroversial statement,harmless,not worth checking
Caffeine may trigger anxiety in certain individuals.,Caffeine can induce anxiety in some individuals.,understandable,hedged claim,cause/effect,uncontroversial statement,harmless,not worth checking
Building a relationship with your healthcare provider can provide support and guidance throughout your pregnancy.,building a relationship with your health care provider can provide support and guidance throughout your pregnancy Journey,understandable,advice/recommendation,not medical,can't tell,harmless,not worth checking
Replacing sugary drinks with flavored water can reduce sugar intake and support weight loss efforts.,Swap sugary drinks with flavored water to reduce sugar intake and aid in weight loss.,understandable,hedged claim,cause/effect,uncontroversial statement,harmless,not worth checking
Exercise promotes the release of brain chemicals that are very good for you.,if three activities could help your anxiety improve your mental health and health in general would you be interested I will be discussing three natural remedies in this video the first item I want to discuss is exercise exercise promotes the release of brain chemicals that are very good for you dr. John Ratey describes exercise as a fertilizer to help our cells function optimally including brain cells exercise promotes neurogenesis which helps the brain grow new brain cells it helps you generate endorphins the body's feel-good chemicals which can help you feel a sense of well-being researchers at the Shante University Medicine who completed an experiment with panic attack sufferers concluded the following our results for the first time suggest that exercise has acute anti panic attack activity best of all you can get started today with something as simple as walking another natural remedy is proper eating dr. Daniel Amen explains that by optimizing the functioning of the basal ganglia things such as fear and anxiety can be decreased while at the same time things such as motivation and energy levels can be increased you can optimize by keeping your blood sugar levels consistent throughout the day in three ways by consuming one foods lower in carbohydrates than the typical Western diet two foods lower in glycemic love this term refers to how quickly a typical portion of a particular food raises your blood sugar you can easily find the glycemic rating of different foods by completing an internet search and then building a diet that favors this approach and finally for consuming food more frequently throughout the day but in lesser quantities another important item is proper sleep the division of sleep medicine at Harvard Medical School indicated studies have shown that even partial sleep deprivation has a significant effect on mood lack of sleep can't elevate the body's production of stress hormones which can affect mood and even cause depression however addressing these sleep problems makes a difference and even if you don't have underlying sleep problems taking the following steps can ensure you obtain adequate sleep and lead to improved mood and well-being ensure you don't have too much noise in your room where you sleep if noise is an unavoidable problem consider getting a white noise machine or a small fan that runs in the background ensure that your room is not too hot a cool temperature is best for sleeping if you wake in the night don't turn on the lights rather use a flashlight this is because light affects a brain chemical called melatonin which regulates your sleep-wake cycle would you like more information on the topics covered in this video all you need to do is simply click on the card on the upper right corner of this video and subscribe to our free newsletter thank you for watching as usual we look forward to presenting a new video in our series next week you ,understandable,hedged claim,cause/effect,uncontroversial statement,harmless,not worth checking
Exercise promotes neurogenesis which helps the brain grow new brain cells.,if three activities could help your anxiety improve your mental health and health in general would you be interested I will be discussing three natural remedies in this video the first item I want to discuss is exercise exercise promotes the release of brain chemicals that are very good for you dr. John Ratey describes exercise as a fertilizer to help our cells function optimally including brain cells exercise promotes neurogenesis which helps the brain grow new brain cells it helps you generate endorphins the body's feel-good chemicals which can help you feel a sense of well-being researchers at the Shante University Medicine who completed an experiment with panic attack sufferers concluded the following our results for the first time suggest that exercise has acute anti panic attack activity best of all you can get started today with something as simple as walking another natural remedy is proper eating dr. Daniel Amen explains that by optimizing the functioning of the basal ganglia things such as fear and anxiety can be decreased while at the same time things such as motivation and energy levels can be increased you can optimize by keeping your blood sugar levels consistent throughout the day in three ways by consuming one foods lower in carbohydrates than the typical Western diet two foods lower in glycemic love this term refers to how quickly a typical portion of a particular food raises your blood sugar you can easily find the glycemic rating of different foods by completing an internet search and then building a diet that favors this approach and finally for consuming food more frequently throughout the day but in lesser quantities another important item is proper sleep the division of sleep medicine at Harvard Medical School indicated studies have shown that even partial sleep deprivation has a significant effect on mood lack of sleep can't elevate the body's production of stress hormones which can affect mood and even cause depression however addressing these sleep problems makes a difference and even if you don't have underlying sleep problems taking the following steps can ensure you obtain adequate sleep and lead to improved mood and well-being ensure you don't have too much noise in your room where you sleep if noise is an unavoidable problem consider getting a white noise machine or a small fan that runs in the background ensure that your room is not too hot a cool temperature is best for sleeping if you wake in the night don't turn on the lights rather use a flashlight this is because light affects a brain chemical called melatonin which regulates your sleep-wake cycle would you like more information on the topics covered in this video all you need to do is simply click on the card on the upper right corner of this video and subscribe to our free newsletter thank you for watching as usual we look forward to presenting a new video in our series next week you ,understandable,hedged claim,cause/effect,uncontroversial statement,harmless,not worth checking
Exercise helps you generate endorphins the body's feel-good chemicals which can help you feel a sense of well-being.,if three activities could help your anxiety improve your mental health and health in general would you be interested I will be discussing three natural remedies in this video the first item I want to discuss is exercise exercise promotes the release of brain chemicals that are very good for you dr. John Ratey describes exercise as a fertilizer to help our cells function optimally including brain cells exercise promotes neurogenesis which helps the brain grow new brain cells it helps you generate endorphins the body's feel-good chemicals which can help you feel a sense of well-being researchers at the Shante University Medicine who completed an experiment with panic attack sufferers concluded the following our results for the first time suggest that exercise has acute anti panic attack activity best of all you can get started today with something as simple as walking another natural remedy is proper eating dr. Daniel Amen explains that by optimizing the functioning of the basal ganglia things such as fear and anxiety can be decreased while at the same time things such as motivation and energy levels can be increased you can optimize by keeping your blood sugar levels consistent throughout the day in three ways by consuming one foods lower in carbohydrates than the typical Western diet two foods lower in glycemic love this term refers to how quickly a typical portion of a particular food raises your blood sugar you can easily find the glycemic rating of different foods by completing an internet search and then building a diet that favors this approach and finally for consuming food more frequently throughout the day but in lesser quantities another important item is proper sleep the division of sleep medicine at Harvard Medical School indicated studies have shown that even partial sleep deprivation has a significant effect on mood lack of sleep can't elevate the body's production of stress hormones which can affect mood and even cause depression however addressing these sleep problems makes a difference and even if you don't have underlying sleep problems taking the following steps can ensure you obtain adequate sleep and lead to improved mood and well-being ensure you don't have too much noise in your room where you sleep if noise is an unavoidable problem consider getting a white noise machine or a small fan that runs in the background ensure that your room is not too hot a cool temperature is best for sleeping if you wake in the night don't turn on the lights rather use a flashlight this is because light affects a brain chemical called melatonin which regulates your sleep-wake cycle would you like more information on the topics covered in this video all you need to do is simply click on the card on the upper right corner of this video and subscribe to our free newsletter thank you for watching as usual we look forward to presenting a new video in our series next week you ,understandable,hedged claim,cause/effect,uncontroversial statement,harmless,not worth checking
